trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.95, 'e': 0.9130889403123083}",20,0,-100.65282477281468,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
43,False,"{'a': 0.95, 'e': 0.9089657496748851}",25,0,-74.38755991542614,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
44,False,"{'a': 0.95, 'e': 0.9047516632199635}",35,0,-211.57356006712223,"{0: 20, 1: 3, 2: 8, 3: 1, 4: 3}",0
45,False,"{'a': 0.95, 'e': 0.9004471023526769}",20,6,-98.63658976668958,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 2}",1
46,False,"{'a': 0.95, 'e': 0.8960524975255253}",25,0,-112.5816635590864,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
47,False,"{'a': 0.95, 'e': 0.8915682881953289}",20,0,-140.45532560026535,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
48,False,"{'a': 0.95, 'e': 0.8869949227792842}",20,0,-170.085589199722,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
49,False,"{'a': 0.95, 'e': 0.8823328586101216}",20,0,-64.73684165335683,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
50,False,"{'a': 0.95, 'e': 0.8775825618903728}",25,0,-133.83516624202528,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
51,False,"{'a': 0.95, 'e': 0.8727445076457513}",20,0,-62.60552579023368,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
52,False,"{'a': 0.95, 'e': 0.8678191796776499}",20,0,-39.488745986777836,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
53,False,"{'a': 0.95, 'e': 0.862807070514761}",25,7,-97.61530629158554,"{0: 10, 1: 4, 2: 1, 3: 2, 4: 1}",1
54,False,"{'a': 0.95, 'e': 0.8577086813638242}",30,12,-53.50722506955624,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
55,False,"{'a': 0.95, 'e': 0.8525245220595057}",30,0,-118.19569936920269,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
56,False,"{'a': 0.95, 'e': 0.8472551110134161}",25,0,-213.9530622886858,"{0: 14, 1: 2, 2: 2, 3: 4, 4: 3}",0
57,False,"{'a': 0.95, 'e': 0.8419009751622687}",30,0,-230.67830916873044,"{0: 13, 1: 2, 2: 11, 3: 2, 4: 2}",0
58,False,"{'a': 0.95, 'e': 0.8364626499151869}",30,0,-134.54634453185952,"{0: 21, 1: 4, 2: 2, 3: 0, 4: 3}",0
59,False,"{'a': 0.95, 'e': 0.8309406791001634}",30,20,-55.187461179618936,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
60,False,"{'a': 0.95, 'e': 0.8253356149096783}",30,0,-124.98372139349922,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
61,False,"{'a': 0.95, 'e': 0.8196480178454795}",25,11,-18.934730403954138,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
62,False,"{'a': 0.95, 'e': 0.8138784566625339}",30,16,-3.2718788993003747,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.95, 'e': 0.8080275083121519}",20,8,0.5861877634976469,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 0.95, 'e': 0.8020957578842927}",30,0,-84.59582097157879,"{0: 21, 1: 5, 2: 1, 3: 2, 4: 1}",0
65,False,"{'a': 0.95, 'e': 0.7960837985490559}",25,18,-5.349911557976691,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.95, 'e': 0.7899922314973651}",25,5,-118.90727400340434,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",1
67,False,"{'a': 0.95, 'e': 0.7838216658808492}",30,0,-96.87130443691115,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
68,False,"{'a': 0.95, 'e': 0.7775727187509279}",25,0,-143.17595254252765,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
69,False,"{'a': 0.95, 'e': 0.7712460149971065}",20,4,-63.64543085497618,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 2}",1
70,False,"{'a': 0.95, 'e': 0.7648421872844884}",20,0,-138.2071589648069,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
71,False,"{'a': 0.95, 'e': 0.7583618759905082}",20,0,-61.8897876221524,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
72,False,"{'a': 0.95, 'e': 0.751805729140895}",35,20,-74.57645056971597,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 1}",1
73,False,"{'a': 0.95, 'e': 0.7451744023448704}",30,0,-123.21467283250752,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
74,False,"{'a': 0.95, 'e': 0.7384685587295879}",25,8,-8.107568235974057,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.95, 'e': 0.7316888688738209}",20,0,-22.99455256031802,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
76,False,"{'a': 0.95, 'e': 0.7248360107409052}",20,4,-57.91762780276111,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
77,False,"{'a': 0.95, 'e': 0.7179106696109434}",25,0,-156.35398879299802,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
78,False,"{'a': 0.95, 'e': 0.7109135380122773}",20,0,-22.259427459858237,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
79,False,"{'a': 0.95, 'e': 0.7038453156522362}",25,4,-82.13434809372266,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 1}",1
80,False,"{'a': 0.95, 'e': 0.6967067093471655}",20,2,-19.165939470260128,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
81,False,"{'a': 0.95, 'e': 0.6894984329517471}",20,11,-21.281054656368863,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
82,False,"{'a': 0.95, 'e': 0.6822212072876136}",25,8,-124.11114441481435,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 3}",1
83,False,"{'a': 0.95, 'e': 0.6748757600712672}",30,0,-194.29806545673,"{0: 21, 1: 1, 2: 3, 3: 1, 4: 4}",0
84,False,"{'a': 0.95, 'e': 0.6674628258413082}",20,0,11.863573724491786,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
85,False,"{'a': 0.95, 'e': 0.6599831458849822}",20,6,-51.53334039577639,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
86,False,"{'a': 0.95, 'e': 0.6524374681640519}",25,12,-18.659146698617132,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
87,False,"{'a': 0.95, 'e': 0.6448265472400012}",25,0,-59.10541930195457,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
88,False,"{'a': 0.95, 'e': 0.6371511441985802}",30,0,-184.1830873395838,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
89,False,"{'a': 0.95, 'e': 0.6294120265736969}",30,0,-118.95327306614436,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
90,False,"{'a': 0.95, 'e': 0.6216099682706645}",30,0,-88.04039800080385,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
91,False,"{'a': 0.95, 'e': 0.6137457494888116}",20,0,-59.798926435726926,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
92,False,"{'a': 0.95, 'e': 0.6058201566434629}",20,12,-79.70095516372875,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 2}",1
